fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, postcode, facility_id, facilityage, streettype, changerooms, longitude, latitude, objectid, faciltysportplayedid, suburbtown, lga, streetname
null,null,"BMX","Lilydale BMX Club",null,null,null,null,"YARRAC5444",null,"Street",null,145.35670599995,-37.7481569988831,9060,27698,"LILYDALE","YARRA RANGES","Anderson"
null,"115","Fitness / Gymnasium Workouts","Nitro Gym",1,null,null,3137,"YARRAR11444",null,"Road",null,145.259467000403,-38.0053919988504,9289,18548,"KILSYTH","CASEY","Canterbury"
null,null,"Tennis (Outdoor)","Minak Reserve",4,"3. Average","6 - 10 Years",3159,"YARRAR11484","26 - 50 Years","Road",null,145.37278100054,-37.9125899990689,9374,18634,"SELBY","YARRA RANGES","Wombalana"
"18 Hole Course - Public",null,"Golf","Baker Golf Club",1,null,null,3418,"HINDMA9612",null,"Road",null,141.586894999488,-36.0746149995223,3856,26012,"BAKER","HINDMARSH","Baker"
null,null,"Equestrian","Truganina Club Grounds",null,null,null,3029,"HOBSON11346",null,"Road",null,144.721687999976,-37.8224829992994,3952,26854,"TRUGANINA","WYNDHAM","Woods"
"Turf Pitch",null,"Cricket","Binnak Park",1,null,null,3083,"BANYUL12800",null,"Parade",null,145.080914999471,-37.697331998711,387,21290,"BUNDOORA","BANYULE","Anderson"
null,null,"Sailing","Cowes Yacht Club",null,null,null,3922,"BASSCO11215",null,"Avenue",null,145.233400000018,-38.4490209991763,554,26756,"COWES","BASS COAST","Osborne"
null,null,"Gymnastics","Benalla Gymnastics Club",null,null,null,3672,"BENALL11446",null,"Street",null,145.96304699999,-36.5550879987529,926,27306,"BENALLA","BENALLA","Bridge"
null,null,"Cycling","Beechworth Mtb Park",null,null,null,null,"INDIGO5415",null,null,null,146.700869000294,-36.3425769987709,4302,27671,null,"INDIGO",null
"Synthetic Pitch",null,"Cricket","George Woods Reserve",1,null,null,3195,"KINGST10946",null,"Road",null,145.09837899999,-38.0092119993734,4383,25460,"MORDIALLOC","KINGSTON","Governor"
null,"52","Gymnastics","Cheltnam Youth Club",null,null,null,3195,"KINGST11451",null,"Drive",null,145.114715999686,-37.9897699990324,4433,27332,"BRAESIDE","KINGSTON","Tarnard"
null,null,"Carpet Bowls","James Boyle Hall",null,"3. Average","N/A",3537,"LODDON12598","26 - 50 Years","Street",null,143.72782800014,-36.1169999993787,4910,20919,"BOORT","LODDON","Godfrey"
null,null,"Gymnastics","Moyhu and District youth Club",null,null,null,3732,"WANGAR11494",null,"Street",null,146.366315000527,-36.5769989993562,8190,27370,"MOYHU","WANGARATTA","Bartley"
null,null,"Polocrosse","Sale Polocrosse",null,null,null,3850,"WELLIN11047",null,null,null,147.023380000059,-38.1127369995098,8461,24647,"WURRUK","WELLINGTON",null
"Asphalt",null,"Tennis (Outdoor)","High School Reserve",4,null,null,3860,"WELLIN11008",null,"Street",null,146.981748999993,-37.9630969993536,8488,24571,"MAFFRA","WELLINGTON","King"
"Wooden Gymnasium","221","Badminton","Deakin YMCA",2,null,null,3125,"WHITEH11007",null,"Hwy",null,145.116445999725,-37.8469499992008,8574,25074,"BURWOOD","WHITEHORSE","Burwood"
"Hard Court",null,"Tennis (Outdoor)","Eley Park",8,"3. Average","11 + Years",3151,"WHITEH11009","26 - 50 Years","Road","Female, Male",145.143021999899,-37.8463089991135,8689,25086,"BURWOOD EAST","WHITEHORSE","Eley"
null,null,"Canoeing","Gatway Lakes",null,null,null,3690,"WODONG11111",null,"Road",null,146.821880999823,-36.1110499993146,8849,17736,"WODONGA","WODONGA","Lemke"
null,null,"Cricket","Raywood Oval",1,null,null,3570,"GREATE8709",null,"Street",null,144.204117000058,-36.5328319987438,1019,24208,"RAYWOOD","GREATER BENDIGO","MacAuley"
"Grass",null,"Baseball","Marshall Reserve",1,null,null,3166,"MONASH12036",null,"Road",null,145.138854000283,-37.912046999323,6094,19780,"HUNTINGDALE","MONASH","Ring East"
null,"9","Karate","Keenan karate Centre",1,null,null,3149,"MONASH12031",null,"Road",null,145.114414999907,-37.8563989986846,6182,19771,"MT WAVERLEY","MONASH","Barlyn"
null,"507-515","Squash / Racquetball","Fitzys Gym",null,null,null,3055,"MORELA13022",null,"Street",null,144.945367000411,-37.7649359990146,6548,21862,"BRUNSWICK WEST","MORELAND","Victoria"
"Grass","1562","Baseball","Tyabb Central Reserve",1,null,null,3913,"MORNIN11204",null,"Road",null,145.188857000283,-38.2621929989547,6599,18266,"TYABB","MORNINGTON PENINSULA","Frankston-Flinders"
"Road",null,"Cycling","Somers Circuit",1,null,null,null,"MORNIN5311",null,"Road",null,145.165860000389,-38.3891729993849,6645,27559,null,"MORNINGTON PENINSULA","Camphill"
null,null,"Sailing","Cairn Curran Sailing",null,null,null,3463,"MOUNTA12691",null,"Reserve",null,143.974075999909,-36.9944209987991,6854,21087,"BARINGHUP","MOUNT ALEXANDER","Cairn Curran"
"Outdoor Velodrome",null,"Cycling","Stawell Velodrome",1,null,null,3400,"NORTHE5129",null,"Street",null,142.205972000339,-36.7186309987974,7156,27294,"STAWELL","HORSHAM","McBryde"
null,null,"BMX","S-cape Regional Skate Park",null,null,null,3630,"GREATE12144",null,"Parade",null,145.397197000551,-36.3870889991409,7357,23666,"SHEPPARTON","GREATER SHEPPARTON","Trevaskis"
null,"19",null,"Anglesea Bowls Club",null,null,null,3230,"SURFCO11855",null,"Road",null,144.19123600055,-38.405952999332,7892,19451,"ANGLESEA","SURF COAST","Cameron"
null,null,"Motor Cycling","Colac Motocycle Club",null,null,null,null,"COLACO5121",null,"Road",null,143.630268999818,-38.4426599991534,2257,27286,"BARONGAROOK","COLAC OTWAY","Gold Hole"
"Grass",null,"Lawn Bowls","Simpson Bowls Club",1,null,null,3266,"CORANG12772",null,"Street",null,143.208746999427,-38.4975549994953,2367,21238,"SIMPSON??","CORANGAMITE","Murrock"
null,null,"Cycling","Wombat Track",null,null,null,null,"MACEDO5423",null,null,null,144.479613000026,-37.4266159989192,5027,27679,null,"MACEDON RANGES",null
null,null,"Equestrian","Buck Reserve",null,null,null,3111,"MANNIN11361",null,"Road",null,145.186757000266,-37.7664919989868,5152,26888,"DONVALE","MANNINGHAM","Reynolds"
null,"5-15","Fitness / Gymnasium Workouts","Contours Croydon",null,null,null,3136,"MAROON11005",null,"Avenue",null,145.277688999931,-37.79358199889,5434,23181,"CROYDON","MAROONDAH","Kent"
"Synthetic",null,"Basketball","Eynesbury Tennis Centre",1,null,null,3338,"MELTON10915",null,"Road",null,144.562904999527,-37.7672399991982,5638,24724,"EYNESBURY","MELTON","Eynesbury"
null,"65","Volleyball","Melton Indoor Sports Stadium",null,null,null,3337,"MELTON9071",null,"Road",null,144.5678269996,-37.6814989989577,5730,24793,"MELTON","MELTON","Reserve"
"Grass",null,"Lawn Bowls","Nangiloc Recreation Reserve",1,"4. Good","< 1 Years",3494,"MILDUR10999","11 - 25 Years","Way",null,142.362899000222,-34.4783879989721,5796,26120,"NANGILOC","MILDURA","Kulkyne"
null,null,"BMX","Broadford BMX Track",null,null,null,3658,"MITCHE11203",null,"Parade",null,145.05682999977,-37.1994669987397,5872,24059,"BROADFORD","MITCHELL","The"
"Hard Court",null,"Netball","Werribee Sports & Fitness Centre",5,"4. Good",null,3030,"WYNDHA8530",null,"Road","Female, Male",144.640316000408,-37.898600998879,9001,26686,"WERRIBEE","WYNDHAM","Ballan"
null,null,"Netball (indoor)","Hoppers Indoor Sportz",2,null,null,3029,"WYNDHA11288",null,"Court",null,144.727499999839,-37.8719999986371,9002,26982,"HOPPERS CROSSING","WYNDHAM","Graham"
"Carpet Playing Surface","13","Netball (Indoor)","Riverside Indoor Sports",5,null,null,3030,"WYNDHA8521",null,"Avenue",null,144.659073999704,-37.9134919991585,9003,26667,"WERRIBEE","WYNDHAM","Riverside"
null,null,"Polo","National Equestrian Centre",2,null,null,3030,"WYNDHA8516",null,"Road",null,144.674980000132,-37.9241109986971,9004,26653,"WERRIBEE","WYNDHAM","K"
null,null,"Rugby League","Clearwood Drive Reserve",2,null,"New facility under construction",null,"WYNDHA5496","0 - 5 Years","Drive",null,144.71782999978,-37.8400369994521,9005,27809,"TRUGANINA","WYNDHAM","Clearwood"
null,null,"Rugby League","Haines Drive Reserve",2,"5. Very Good",null,3024,"WYNDHA11000","0 - 5 Years","Road","Female, Male, Umpire/Officials",144.609389000349,-37.8970689990873,9006,27810,"WYNDHAM VALE","WYNDHAM","Haines"
null,null,"Cycling","Mt Tarrengower",null,null,null,null,"MOUNTA5433",null,null,null,144.049166999971,-36.9963889990249,6827,27688,null,"MOUNT ALEXANDER",null
null,null,"Rugby Union","Haines Drive Reserve",2,"5. Very Good",null,3024,"WYNDHA11000","0 - 5 Years","Road","Female, Male, Umpire/Officials, Unisex",144.609389000349,-37.8970689990873,9007,26571,"WYNDHAM VALE","WYNDHAM","Haines"
"Grass",null,"Rugby Union","Mossfiel Reserve",2,"3. Average","N/A",3029,"WYNDHA8514","26 - 50 Years","Road","Umpire/Officials, Unisex",144.692477999955,-37.8774369989504,9008,26647,"HOPPERS CROSSING","WYNDHAM","Heaths"
null,null,"Shooting Sports","Wyndham Handgun Club",null,null,null,3030,"WYNDHA11205",null,"Road",null,144.640603000401,-37.8983029988894,9009,27283,"WERRIBEE","WYNDHAM","Ballan"
"Concrete",null,"Skating","Boardwalk Skate Park",1,"3. Average","N/A",3030,"WYNDHA8492","0 - 5 Years","Boulevard",null,144.735336000124,-37.8805559989179,9010,26594,"POINT COOK","WYNDHAM","Boardwalk"
"Concrete",null,"Skating","Little River Reserve",1,null,null,3211,"WYNDHA8512",null,"Road",null,144.49740599951,-37.9614169989866,9011,26640,"LITTLE RIVER","WYNDHAM","You Yangs"
"Concrete",null,"Skating","Mossfiel Reserve",1,"4. Good","< 1 Years",3029,"WYNDHA8514","11 - 25 Years","Road",null,144.692477999955,-37.8774369989504,9012,26648,"HOPPERS CROSSING","WYNDHAM","Heaths"
"Concrete",null,"Skating","Presidents Park",1,"3. Average",null,3030,"WYNDHA8518","6 - 10 Years","Road",null,144.634572000429,-37.8818099989996,9013,26658,"WERRIBEE","WYNDHAM","McGraths"
"Grass",null,"Soccer","Forsyth Road Reserve",2,"5. Very Good",null,3029,"WYNDHA10998","0 - 5 Years","Road","Female, Male, Umpire/Officials, Unisex",144.729418999695,-37.8608039990255,9014,26567,"TRUGANINA","WYNDHAM","Forsyth"
"Artificial Turf",null,"Soccer","Forsyth Road Reserve",1,"5. Very Good",null,3029,"WYNDHA10998","0 - 5 Years","Road","Female, Male, Umpire/Officials, Unisex",144.729418999695,-37.8608039990255,9015,26566,"TRUGANINA","WYNDHAM","Forsyth"
"Grass",null,"Soccer","Galvin Park",3,"4. Good","Upgrade in progress",3030,"WYNDHA8502","11 - 25 Years","Road","Umpire/Officials, Unisex",144.650409000095,-37.8870599990877,9016,26619,"WERRIBEE","WYNDHAM","Shaws"
"Grass",null,"Soccer","Grange Reserve Soccer Complex",2,"5. Very Good","N/A",3029,"WYNDHA8505","0 - 5 Years","Road","Umpire/Officials, Unisex",144.67657200013,-37.8608849988679,9017,26622,"HOPPERS CROSSING","WYNDHAM","Hogans"
"Artificial Turf",null,"Soccer","Grange Reserve Soccer Complex",1,"5. Very Good","6 - 10 Years",3029,"WYNDHA8505","6 - 10 Years","Road","Umpire/Officials, Unisex",144.67657200013,-37.8608849988679,9018,26623,"HOPPERS CROSSING","WYNDHAM","Hogans"
"Artificial Turf",null,"Soccer","Saltwater Reserve",3,"5. Very Good",null,3030,"WYNDHA11003","0 - 5 Years","Road","Female, Male, Umpire/Officials, Unisex",144.752502000045,-37.9093509991689,9019,26580,"POINT COOK","WYNDHAM","Point Cook"
"Grass",null,"Soccer","Tom Roberts Parade Reserve",2,"5. Very Good",null,3030,"WYNDHA11004","0 - 5 Years","Parade","Female, Male, Umpire/Officials, Unisex",144.727529000391,-37.8940099995174,9020,26583,"POINT COOK","WYNDHAM","Tom Robert"
"Grass",null,"Soccer","VU Wyndham Sporting Complex",1,"4. Good","< 1 Years",3030,"WYNDHA8526","6 - 10 Years","Lane","Female, Male",144.702156999754,-37.8926289987902,9021,26677,"WERRIBEE","WYNDHAM","Hoppers"
"Carpet Playing Surface","13","Soccer (Indoor Soccer / Futsal)","Riverside Indoor Sports",5,null,null,3030,"WYNDHA8521",null,"Avenue",null,144.659073999704,-37.9134919991585,9022,26668,"WERRIBEE","WYNDHAM","Riverside"
"Grass",null,"Softball","Laurie Emmins Reserve",1,"2. Poor","6 - 10 Years",3026,"WYNDHA8511","11 - 25 Years","Road",null,144.764933000101,-37.8521359988681,9023,26637,"LAVERTON NORTH","WYNDHAM","Sayers"
"Grass",null,"Softball","Presidents Park",11,"5. Very Good","< 1 Years",3030,"WYNDHA8518","6 - 10 Years","Road","Female, Male",144.634572000429,-37.8818099989996,9024,26659,"WERRIBEE","WYNDHAM","McGraths"
"25m Pool - Indoor, Spa/Sauna","116","Swimming","Fenix Fitness Club Hoppers Crossing",null,null,null,3029,"WYNDHA8500",null,"Drive",null,144.691056000423,-37.8691269986606,9025,26614,"HOPPERS CROSSING","WYNDHAM","Mossfiel"
"25m Pool - Indoor","35","Swimming","Shawn's Swim School",null,null,null,3029,"WYNDHA8523",null,"Road",null,144.728999999598,-37.8659999994223,9026,26671,"HOPPERS CROSSING","WYNDHAM","Richards"
"50m Pool - Outdoor, Recreation / Play Water Space, Toddlers Pool",null,"Swimming","Werribee Olympic Pool",3,"5. Very Good","1 - 5 Years",3030,"WYNDHA8528",null,"Street","Female, Male, Unisex",144.651881999584,-37.9060409994606,9027,26680,"WERRIBEE","WYNDHAM","Watton"
"50m Pool - Indoor, Recreation / Play Water Space, Rehabilitation Pool, Spa/Sauna, Toddlers Pool",null,"Swimming","Wyndham Leisure & Events Centre",5,"5. Very Good",null,3029,"WYNDHA8533","11 - 25 Years","Road","Female, Male, Unisex",144.68335499999,-37.882172998776,9028,26694,"HOPPERS CROSSING","WYNDHAM","Derrimut"
null,null,"Table Tennis","Werribee Sports & Fitness Centre",5,"4. Good",null,3030,"WYNDHA8530",null,"Road","Female, Male",144.640316000408,-37.898600998879,9029,26687,"WERRIBEE","WYNDHAM","Ballan"
"Hard Court",null,"Tennis (Outdoor)","Cambridge Reserve",6,"4. Good","1 - 5 Years",3029,"WYNDHA8494","11 - 25 Years","Drive","Female, Male",144.675716999655,-37.8710689993511,9030,26598,"HOPPERS CROSSING","WYNDHAM","Barber"
"Hard Court",null,"Tennis (Outdoor)","Chirnside Park",2,"4. Good","< 1 Years",3030,"WYNDHA8495",null,"Street","Female, Male",144.652060999777,-37.9048149993845,9031,26602,"WERRIBEE","WYNDHAM","Watton"
"Clay",null,"Tennis (Outdoor)","Chirnside Park",2,"4. Good","< 1 Years",3030,"WYNDHA8495",null,"Street","Female, Male",144.652060999777,-37.9048149993845,9032,26603,"WERRIBEE","WYNDHAM","Watton"
"Hard Court",null,"Tennis (Outdoor)","Galvin Park",8,"2. Poor",null,3030,"WYNDHA8502",null,"Road","Female, Male",144.650409000095,-37.8870599990877,9033,26620,"WERRIBEE","WYNDHAM","Shaws"
null,null,"Tennis (Outdoor)","Hoppers Crossing Club",2,null,null,3029,"WYNDHA8508",null,"Drive",null,144.692772999834,-37.8694899993459,9034,26630,"HOPPERS CROSSING","WYNDHAM","Pannam"
"Hard Court",null,"Tennis (Outdoor)","Jamieson Way Tennis & Netball Complex",4,"4. Good","N/A",3030,"WYNDHA8510","0 - 5 Years","Way","Female, Male",144.7485320004,-37.8963119991958,9035,26634,"POINT COOK","WYNDHAM","Jamieson"
"Asphalt",null,"Tennis (Outdoor)","Little River Reserve",2,"4. Good","1 - 5 Years",3211,"WYNDHA8512","6 - 10 Years","Road","Umpire/Officials, Unisex",144.49740599951,-37.9614169989866,9036,26641,"LITTLE RIVER","WYNDHAM","You Yangs"
"Hard Court",null,"Tennis (Outdoor)","Mossfiel Reserve",6,"4. Good","6 - 10 Years",3029,"WYNDHA8514","26 - 50 Years","Road","Female, Male",144.692477999955,-37.8774369989504,9037,26649,"HOPPERS CROSSING","WYNDHAM","Heaths"
"Hard Court",null,"Tennis (Outdoor)","Price Reserse",2,"3. Average",null,3030,"WYNDHA8519","26 - 50 Years","Road",null,144.691764999526,-37.9733679988575,9038,26662,"WERRIBEE","WYNDHAM","Beach"
"Hard Court",null,"Tennis (Outdoor)","Saltwater Reserve",8,"5. Very Good",null,3030,"WYNDHA11003","0 - 5 Years","Road","Female, Male, Umpire/Officials, Unisex",144.752502000045,-37.9093509991689,9039,26581,"POINT COOK","WYNDHAM","Point Cook"
null,null,"Tennis (Outdoor)","Sanctuary Lakes Golf Club",3,null,null,3030,"WYNDHA8522",null,"Drive",null,144.762714000019,-37.8960969988911,9040,26670,"POINT COOK","WYNDHAM","Greg Norman"
"Hard Court",null,"Tennis (Outdoor)","Werribee Sports & Fitness Centre",4,"4. Good",null,3030,"WYNDHA8530",null,"Road","Female, Male",144.640316000408,-37.898600998879,9041,26688,"WERRIBEE","WYNDHAM","Ballan"
"Hard Court",null,"Tennis (Outdoor)","Willow Green Park Tennis Courts",2,"3. Average",null,3030,"WYNDHA8531","6 - 10 Years","Way",null,144.751022999603,-37.8856049989527,9042,26690,"POINT COOK","WYNDHAM","Spindrift"
"Hard Court",null,"Tennis (Outdoor)","Wootten Road Reserve",9,"5. Very Good",null,3029,"WYNDHA11006","0 - 5 Years","Road","Female, Male, Umpire/Officials, Unisex",144.660000000363,-37.8564999986376,9043,26588,"TARNEIT","WYNDHAM","Wootten"
"Hard Court",null,"Tennis (Outdoor)","Wyndham Green Tennis Courts",1,"3. Average",null,3024,"WYNDHA8532","6 - 10 Years","Place",null,144.619546000044,-37.8872439988968,9044,26691,"WYNDHAM VALE","WYNDHAM","Amber"
null,null,"Tennis (Outdoor)","Wyndham Waters",2,null,null,3029,"WYNDHA8535",null,"Road",null,144.726537000312,-37.8512209994346,9045,26697,"TRUGANINA","WYNDHAM","Sayers"
"Wooden Flooring",null,"Volleyball","Werribee Sports & Fitness Centre",3,"4. Good",null,3030,"WYNDHA8530",null,"Road","Female, Male",144.640316000408,-37.898600998879,9046,26689,"WERRIBEE","WYNDHAM","Ballan"
"Grass Running Track",null,"Athletics","Citizen’s Park Oval and Jack Dyer Pavilion",1,"2. Poor","11 + Years",3121,"YARRAC11007","26 - 50 Years","Street","Female, Male, Umpire/Officials",145.000351000084,-37.8172179993486,9047,17807,"RICHMOND","YARRA","Gleadell"
"Synthetic Running Track",null,"Athletics","George Knott Athletics Track and Ray Coverdale Pavilion",1,"4. Good","1 - 5 Years",3068,"YARRAC10978","26 - 50 Years","Road","Female, Male",145.002318999856,-37.7842049990468,9048,17767,"CLIFTON HILL","YARRA","Heidelberg"
"Grass",null,"Australian Rules Football","Alfred Crescent Oval and Pavilion",1,"4. Good","1 - 5 Years",3065,"YARRAC10993","0 - 5 Years","Street","Umpire/Officials, Unisex",144.98237699997,-37.7875299987931,9049,17789,"FITZROY","YARRA","Brunswick"
"Grass",null,"Australian Rules Football","Alphington Park Oval and Pavilion",1,"4. Good","1 - 5 Years",3067,"YARRAC10967","51 Years +","Road","Umpire/Officials, Unisex",145.029131000025,-37.7837789988703,9050,17749,"ALPHINGTON","YARRA","Parkview"
"Grass",null,"Australian Rules Football","Citizen’s Park Oval and Jack Dyer Pavilion",1,"2. Poor","11 + Years",3121,"YARRAC11007","26 - 50 Years","Street","Female, Male, Umpire/Officials",145.000351000084,-37.8172179993486,9051,17808,"RICHMOND","YARRA","Gleadell"
"Grass",null,"Australian Rules Football","Loughan Oval and Johnson Pavilion",1,"3. Average","1 - 5 Years",3121,"YARRAC10972","11 - 25 Years","Street","Umpire/Officials, Unisex",145.020461999478,-37.8285759991585,9052,17758,"BURNLEY","YARRA","Swan"
"Grass",null,"Australian Rules Football","Ramsden Street Oval and Pavilion",1,"2. Poor","Upgrade in progress",3078,"YARRAC10985","26 - 50 Years","Street",null,145.003110999733,-37.789872999414,9053,17779,"FAIRFIELD","YARRA","Ramsden"
"Grass",null,"Australian Rules Football","Victoria Park",1,"4. Good","< 1 Years",3067,"YARRAC10962","51 Years +","Street","Male, Umpire/Officials",144.996607000233,-37.7985799995072,9054,17744,"ABBOTSFORD","YARRA","Turner"
"Grass",null,"Australian Rules Football","W T Peterson Oval & Edinburgh Gardens Change Rooms",1,"4. Good","1 - 5 Years",3065,"YARRAC10995","51 Years +","Street","Umpire/Officials, Unisex",144.98237699997,-37.7875299987931,9055,17792,"FITZROY","YARRA","Brunswick"
"Wooden Gymnasium",null,"Basketball","Collingwood Secondary College",2,"3. Average","11 + Years",null,"YARRAC11029","11 - 25 Years","Way",null,144.989029999835,-37.8032559991894,9056,17842,"COLLINGWOOD","YARRA","Mc Cutcheon"
"Wooden Gymnasium",null,"Basketball","Fitzroy Secondary  School",1,null,null,null,"YARRAC11032",null,"Street",null,144.979156999458,-37.8009089994633,9057,17848,"FITZROY","YARRA","Falconer"
"Wooden Gymnasium",null,"Basketball","Melbourne Girls College",2,null,"11 + Years",null,"YARRAC11028","11 - 25 Years","Boulevard",null,145.012699000534,-37.8296899994432,9058,17840,"BURNLEY","YARRA","Yarra"
"Wooden Gymnasium",null,"Basketball","Princes Hill Seconary College",1,null,null,null,"YARRAC11030",null,"Strret",null,144.966586999947,-37.7818179988637,9059,17845,"PRINCES HILL","YARRA","Arnold"
null,null,"Bocce","Edinburgh Gardens Bocce Courts",1,null,null,3065,"YARRAC10999",null,"Street",null,144.98237699997,-37.7875299987931,9061,17798,"FITZROY","YARRA","Brunswick"
null,null,"Bocce","Hardy Gallagher Reserve Bocce Courts",3,null,null,3054,"YARRAC11006",null,"Street",null,144.967057999513,-37.7791969991143,9062,17806,"PRINCESS HILL","YARRA","Park"
null,null,"Boxing","Melbourne Aboriginal Sport and Recreation Gym",null,"3. Average","6 - 10 Years",null,"YARRAC11024","26 - 50 Years","Street",null,144.974448999909,-37.80546699893,9063,17835,"FITZROY","YARRA","Gertrude"
null,null,"Boxing","Richmond Boxing Club",null,"2. Poor","11 + Years",null,"YARRAC11023","26 - 50 Years","Street","Female, Male",145.001524999801,-37.8183799991808,9064,17833,"RICHMOND","YARRA","Gleadell"
null,null,"Boxing","Stanton Street Hall",null,"4. Good","< 1 Years",null,"YARRAC11022","26 - 50 Years","Street",null,144.988163999738,-37.8019559993457,9065,17831,"COLLINGWOOD","YARRA","Stanton"
null,null,"Canoe Polo","Richmond Recreation Centre",null,null,null,3121,"YARRAC11013",null,"Street",null,145.002381000219,-37.8176879988823,9066,17818,"RICHMOND","YARRA","Gleadell"
null,"9","Canoeing","Fairfield Canoe Club",null,null,null,null,"YARRAC11026",null,null,null,145.018758999676,-37.7856389988295,9067,17838,"FAIRFIELD","YARRA","The Esplanade"
null,null,"Canoeing","Fairfield Park Canoe Facility",null,"2. Poor","11 + Years",null,"YARRAC11027","26 - 50 Years","Street",null,145.004221999452,-37.7843699987633,9068,17839,"FAIRFIELD","DAREBIN","Heidelberg"
"Synthetic Pitch",null,"Cricket","Alan Bain Reserve and Pavilion",1,"4. Good","1 - 5 Years",3121,"YARRAC10983","11 - 25 Years","Street","Umpire/Officials, Unisex",145.001134000209,-37.830217999443,9069,17775,"CREMORNE","YARRA","Church"
"Synthetic Pitch",null,"Cricket","Alfred Crescent Oval and Pavilion",1,"4. Good","1 - 5 Years",3065,"YARRAC10993","0 - 5 Years","Street","Umpire/Officials, Unisex",144.98237699997,-37.7875299987931,9070,17790,"FITZROY","YARRA","Brunswick"
"Synthetic Pitch",null,"Cricket","Alphington Park Oval and Pavilion",1,"4. Good","1 - 5 Years",3067,"YARRAC10967","51 Years +","Road","Umpire/Officials, Unisex",145.029131000025,-37.7837789988703,9071,17750,"ALPHINGTON","YARRA","Parkview"
"Synthetic Pitch",null,"Cricket","Burnley Park Oval and O’Connell Pavilion",1,"4. Good","1 - 5 Years",3121,"YARRAC10970","0 - 5 Years","Grove","Umpire/Officials, Unisex",145.014145000422,-37.826102999182,9072,17754,"BURNLEY","YARRA","Park"
null,"576","Fitness / Gymnasium Workouts","Genesis Richmond",1,null,null,3121,"YARRAC11012",null,"Street",null,145.019798000531,-37.8272299989764,9111,17816,"RICHMOND","YARRA","Swan"
"Turf Pitch",null,"Cricket","Citizen’s Park Oval and Jack Dyer Pavilion",1,"2. Poor","11 + Years",3121,"YARRAC11007","26 - 50 Years","Street","Female, Male, Umpire/Officials",145.000351000084,-37.8172179993486,9073,17809,"RICHMOND","YARRA","Gleadell"
"Turf Pitch",null,"Cricket","Corben Oval",1,"2. Poor","11 + Years",3067,"YARRAC10964","26 - 50 Years","Road","Male",145.007718000194,-37.7956429992036,9074,17746,"ABBOTSFORD","YARRA","Yarra Bend"
"Synthetic Pitch",null,"Cricket","Fairfield Park Oval and Maxwell Sutherland Pavilion",1,"2. Poor","6 - 10 Years",3078,"YARRAC10984","26 - 50 Years","Road","Male, Umpire/Officials",145.009953999482,-37.7857379992617,9075,17778,"FAIRFIELD","YARRA","Yarra Bend"
"Synthetic Pitch",null,"Cricket","Fairlea Ovals",2,"1. Very Poor","11 + Years",3078,"YARRAC10989","26 - 50 Years","Road","Male",145.007718000194,-37.7956429992036,9076,17784,"FAIRFIELD","YARRA","Yarra Bend"
"Synthetic Pitch",null,"Cricket","Fletcher 1 and 2 Soccer Pitches and Graham Pavilion",1,"3. Average","11 + Years",3121,"YARRAC10971","26 - 50 Years","Street","Male, Umpire/Officials",145.020461999478,-37.8285759991585,9077,17756,"BURNLEY","YARRA","Swan"
"Turf Pitch",null,"Cricket","Loughan Oval and Johnson Pavilion",1,"3. Average","1 - 5 Years",3121,"YARRAC10972","11 - 25 Years","Street","Umpire/Officials, Unisex",145.020461999478,-37.8285759991585,9078,17759,"BURNLEY","YARRA","Swan"
"Turf Pitch",null,"Cricket","Mc Cutcheon Oval",1,null,null,null,"YARRAC11021",null,"Road",null,145.008575000236,-37.7999749989253,9079,17828,"FAIRFIELD","YARRA","Yarra Bend"
"Synthetic Pitch",null,"Cricket","Ramsden Street Oval and Pavilion",1,"2. Poor","Upgrade in progress",3078,"YARRAC10985","26 - 50 Years","Street",null,145.003110999733,-37.789872999414,9080,17780,"FAIRFIELD","YARRA","Ramsden"
"Turf Pitch",null,"Cricket","Sir Herbert Olney Oval",1,"2. Poor","11 + Years",3067,"YARRAC10963","26 - 50 Years","Road","Male, Umpire/Officials",145.007718000194,-37.7956429992036,9081,17745,"ABBOTSFORD","YARRA","Yarra Bend"
"Synthetic Pitch",null,"Cricket","W J COX",1,"1. Very Poor","11 + Years",null,"YARRAC11020","26 - 50 Years","Road","Male",145.008575000236,-37.7999749989253,9082,17827,"FAIRFIELD","YARRA","Yarra Bend"
"Synthetic Pitch",null,"Cricket","W T Peterson Oval & Edinburgh Gardens Change Rooms",1,"4. Good","1 - 5 Years",3065,"YARRAC10995","51 Years +","Street","Umpire/Officials, Unisex",144.98237699997,-37.7875299987931,9083,17793,"FITZROY","YARRA","Brunswick"
"Concrete Pitch",null,"Cricket","Westfield Ovals",1,null,null,3078,"YARRAC10990",null,"Road",null,145.007718000194,-37.7956429992036,9084,17786,"FAIRFIELD","YARRA","Yarra Bend"
"Turf Pitch",null,"Cricket","WT Long Oval",1,null,null,3067,"YARRAC10965",null,"Road",null,145.007718000194,-37.7956429992036,9085,17747,"ABBOTSFORD","YARRA","Yarra Bend"
"Road",null,"Cycling","Kew Boulevard",1,null,null,null,"YARRAC5306",null,"Boulevard",null,145.010119999928,-37.8065289989313,9086,27554,"KEW","BOROONDARA","Kew"
null,null,"Cycling","Yarra Boulevard Loop",1,null,null,null,"YARRAC5282",null,"Boulevard",null,145.015130000056,-37.7936999990177,9087,27531,"RICHMOND","BOROONDARA","Yarra"
